video_id,is_understandable,is_predicted,label,is_predicted_human
0H_xTEHRK0g,0,0,1.0,0.0
1KceELBEzgw,0,0,1.0,0.0
1hKkuOSe2vw,1,0,1.0,0.0
2WOM6we0SyM,0,0,0.0,0.0
2uD0VmPdGIE,0,0,0.0,0.0
4CCA9ojRAoU,1,0,1.0,0.0
4L4FrsM6kFM,0,0,0.0,0.0
7rDt5QGWZf0,1,0,0.0,0.0
9_VsEs_T1hA,1,0,1.0,0.0
A-M6wSyw6IY,1,0,0.0,0.0
AUMTTZ5aVIQ,1,0,1.0,0.0
Ca353BNz0xU,1,0,1.0,0.0
HJCRWBLEWAM,1,0,1.0,0.0
IrgOE0B8xIw,1,0,1.0,0.0
JNjH39gHIww,0,0,1.0,0.0
JS0-opsKPPw,0,0,0.0,0.0
K69DQUq-HGo,0,0,1.0,0.0
MhXkknPC_vc,1,0,1.0,0.0
Nlt5PBrowKE,1,0,1.0,0.0
OLKfH44FVk0,1,0,0.0,0.0
OiRnjmQUylQ,1,0,1.0,0.0
PnnuV7NCzow,1,0,0.0,0.0
Q88c7drpQrw,1,0,1.0,0.0
SsXXGYdBdGk,1,0,0.0,0.0
Svuy0sjpP2A,0,0,0.0,0.0
VGZRMHA4ics,0,0,0.0,0.0
WA2U293-GRg,1,0,0.0,0.0
X5HxpB8u0h8,1,0,1.0,0.0
_kwtFLe2VQQ,1,0,1.0,0.0
a4ibn9IVChI,1,0,1.0,0.0
a7gJ73YIz40,1,0,1.0,0.0
bvCRH0A6kxY,1,0,0.0,0.0
idX2wd0HY30,1,0,0.0,0.0
jRivbMime1s,1,0,1.0,0.0
kv3PN9sti9Y,1,0,1.0,0.0
lGktTbcUu3E,1,0,1.0,0.0
lvSks9_fu0A,1,0,0.0,0.0
mPwX8P6EL4s,0,0,0.0,0.0
obss0_8xIBs,1,0,1.0,0.0
oc6vCBmvrzk,1,0,1.0,0.0
pn7x1GLjyoE,1,0,1.0,0.0
rVyQbCtRKeA,0,0,1.0,0.0
szMgN68kijg,1,0,1.0,0.0
voEQjWvxBRM,1,0,0.0,0.0
w-H1eYdPhPI,1,0,0.0,0.0
wiziIhGjUHA,1,0,0.0,0.0
zgb8yOYYc68,0,0,0.0,0.0
zqNTr084XTk,0,0,1.0,0.0
-QtYNPHW0mQ,0,0,0.0,0.0
-RtIaTkUhM0,0,0,1.0,1.0
-mjXDwjvkNI,0,0,1.0,1.0
-npwKFGAcc8,1,0,1.0,1.0
-y6JiLg201w,1,0,1.0,1.0
