video_id,entity_total,count_diagnostic_procedure,count_detailed_description,count_age,count_sign_symptom,count_activity,count_frequency,count_history,count_date,count_therapeutic_procedure,count_clinical_event,count_duration,count_nonbiological_location,count_disease_disorder,count_severity,count_lab_value,count_biological_structure,count_coreference,count_outcome,count_other_event,count_medication,count_time,count_other_entity,count_subject
iyT00P2BR_M,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iyT00P2BR_M,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iyT00P2BR_M,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iyT00P2BR_M,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qg8Z8SinIdE,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qg8Z8SinIdE,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qg8Z8SinIdE,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qg8Z8SinIdE,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4TwLNSc5jLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4TwLNSc5jLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4TwLNSc5jLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4TwLNSc5jLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYWmYJNg5Jw,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYWmYJNg5Jw,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYWmYJNg5Jw,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYWmYJNg5Jw,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DXnCwKr4xD8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DXnCwKr4xD8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DXnCwKr4xD8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DXnCwKr4xD8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V26Osvn0Yb8,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V26Osvn0Yb8,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p7XaXR5vgHU,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p7XaXR5vgHU,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9xc27Rr5fXw,60,3.0,7.0,1.0,15.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,5.0,1.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
-B-HaLGqQRM,33,1.0,3.0,0.0,11.0,4.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
xJqhnoDUKj8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
dVdKV9qW2wc,12,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LW8xpMrucOk,46,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,3.0,6.0,1.0,0.0
t6if2JzrNVQ,8,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CbhEVSrmZMk,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e2-7Cp3KeLI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABm8iW5eWC8,36,1.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
cGuxBtvBl3I,54,1.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,21.0,1.0,2.0,3.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
zagQa-9fJpM,55,0.0,6.0,0.0,3.0,3.0,1.0,0.0,1.0,15.0,8.0,5.0,5.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
DQi4FlIiq-I,76,0.0,11.0,0.0,7.0,0.0,0.0,0.0,2.0,31.0,2.0,6.0,2.0,6.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8XniQTxWRZs,24,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
QxVLKER065w,44,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0
b37_YcMwAo0,49,5.0,15.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0
MkKp-y5BJUQ,75,12.0,8.0,0.0,19.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,2.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
gQS_OEcgN8E,30,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
ZZs2YLfzJhs,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LcmOfyetmdQ,23,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3xBoVClIOXs,80,1.0,20.0,0.0,3.0,1.0,3.0,0.0,1.0,18.0,4.0,6.0,5.0,1.0,0.0,1.0,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0
Wk1is8hDWZE,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deBe6HV91js,77,0.0,20.0,1.0,17.0,1.0,0.0,0.0,3.0,5.0,2.0,1.0,9.0,5.0,0.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0
Hc80DpVlVYY,51,4.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,14.0,7.0,1.0,1.0,4.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
cJchN5xChFo,22,0.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
gZruWtIqUY0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9oRaPL3oCUA,79,3.0,18.0,0.0,8.0,1.0,1.0,1.0,2.0,9.0,4.0,1.0,6.0,7.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,8.0
