video_id,label
-QtYNPHW0mQ,0.7
0H_xTEHRK0g,0.8
0UvOSHJz7U0,0.7979797980000001
13X23gF0K_4,0.8
14m0iXpHVAU,1.0
1IauflS1rR0,1.0
1IjYsYT6KmQ,0.6666666667
1KceELBEzgw,0.86363636365
1PtxaxcPnGc,0.6
1hKkuOSe2vw,1.0
24v2zQHZUAE,0.9090909091
2WOM6we0SyM,0.7727272727500001
2n4gXcZ1CMc,0.74242424245
2uD0VmPdGIE,0.42222222220000005
2zy9LV6ARSI,0.7272727273
30O9u8iC51g,0.95
3Fker8Nmd5Y,0.81363636365
4CCA9ojRAoU,0.9090909091
6obZRepfzGY,0.898989899
7YRFE8tg-gY,1.0
86Iy9c8rSP0,0.6681818182
8uLx9drXbkA,0.6
8ufoR2cQ04g,1.0
98qvFKR8OmQ,1.0
9ItbKVrDOtQ,1.0
9WAD1YM5R14,1.0
9tt-HuJRIIQ,0.9545454545500001
A-M6wSyw6IY,0.7803030303
AUMTTZ5aVIQ,1.0
CaPxqmkBDEg,0.5555555556
CqeNdL_qJEg,0.86363636365
DjTC8drkMEE,0.8590909091000001
E9Dnyym6a94,0.6060606061
GHyF9JuWE6Q,0.7272727273
GJ_g6aDAx9k,0.8181818182
GXyEZXJCoYc,0.5555555556
GeMEopvNJUM,0.898989899
HGeInTptfyU,0.9545454545500001
HggDQUjOnDQ,0.7979797980000001
Hjnd67MKhy0,0.8181818182
IFLM_lpiS70,0.7
IkBMQ2QTmfc,0.95
JY8Dp1pKx1U,1.0
K69DQUq-HGo,0.9
KIvYlZ_HaEA,0.8181818182
LZH5EQAfBVY,0.6363636364
Lp1eghw7_7Q,0.898989899
LpiytTB4ZG4,0.9545454545500001
MeSYFx7ends,1.0
MhXkknPC_vc,0.9545454545500001
N7kj0sfe6og,0.8888888889
NGr8q36Cmj8,0.5909090909500001
OLKfH44FVk0,0.74242424245
OiRnjmQUylQ,0.8045454545499999
Oj5N4H6Y9wg,0.8181818182
OkHESl_I2O8,0.85454545455
PLDHbo9nQGY,0.8181818182
PnnuV7NCzow,0.6060606061
Q75-R4EMtZI,0.7777777778
Q88c7drpQrw,1.0
QPj6e1aqiB0,1.0
QapEAECWcJY,0.9
RLz_PVzRb8o,0.86363636365
Ra_OdIPXdqE,0.90454545455
S3CegUhEd7Y,1.0
SdH-IhgHD8U,0.8590909091000001
SsXXGYdBdGk,0.6363636364
SuHkwjqlGEg,0.75
Svuy0sjpP2A,0.4444444444
U8ZVlKI_yoA,0.85353535355
UOe4tcUhbQI,1.0
V0yazJUTlb4,0.74242424245
V3O_FpF4ggo,0.8090909091
VGZRMHA4ics,0.45
V_I6Q56vtjE,0.6
VpSQoQK_Wek,1.0
WA2U293-GRg,0.0
WZxopWCd9C0,0.9090909091
X5HxpB8u0h8,0.8181818182
XV-pGEY4rxc,0.8888888889
Xa-iEHml8nc,0.6666666667
YJwkoX7KoOA,0.625
ZCpSiSS0Yv4,0.9545454545500001
_kwtFLe2VQQ,0.8571428571
a4ibn9IVChI,1.0
a7gJ73YIz40,0.95
aS3XEPPfNtU,0.81363636365
awC12PFFUuM,0.8181818182
cVSSdly_m7A,0.85353535355
cWbZbyLmY5Q,0.7727272727500001
d46WEOlnuVg,0.8831168831
f-Uf0XUMqO0,0.7803030303
fKyzKlYGZhA,1.0
fMuGNy2oCzI,0.5555555556
fPyS5ma_7rM,0.95
gOLAVmFflgg,0.8333333333
gt-AVLJGYnA,0.85454545455
h6l3CB3boLA,1.0
iEOa6VM8zHg,0.5555555556
iPyVe4jx7rI,0.696969697
iWSewFlU6o8,1.0
iZjpNbYrU4w,0.8181818182
j163VvTQ3q8,0.6
jIwUwGE9aX8,0.6666666667
jPSl50VPOHI,0.84343434345
jRivbMime1s,0.94444444445
jsLa9itfNFU,1.0
kGlGGqoF5-o,1.0
kOFVP0dPl-Q,0.7979797980000001
kh2Nb0huvQs,0.86363636365
krjuiYAzBkk,1.0
lGktTbcUu3E,0.8840909091
lZl8tISca5E,0.696969697
lvSks9_fu0A,0.7590909091
mPwX8P6EL4s,0.5555555556
o1XNQs21gGA,1.0
oBzWEtWY--0,0.8181818182
oWT8_BOEtRk,0.5777777778
obss0_8xIBs,1.0
oc6vCBmvrzk,0.85454545455
ojpeeno-ppg,1.0
pn7x1GLjyoE,0.86363636365
qkWLnyHua1g,0.9090909091
rP05zGjuZu8,0.7272727273
rVyQbCtRKeA,0.8181818182
rrajxcaj5bw,0.7727272727500001
s4ZVdc9sz2A,0.898989899
sYDMzXFdU0g,0.84343434345
szMgN68kijg,1.0
tUZaEuBnycc,0.7142857143
upTj79dRmZk,0.6666666667
vXxVFIgNTCE,0.9090909091
vk3B1EmqhCM,0.6666666667
vlkASwAkHaE,1.0
w4iz4OTCySM,0.8
wApvCj3HDAU,0.5
wiziIhGjUHA,0.5555555556
xUV0eKlDJcY,0.8181818182
zgb8yOYYc68,0.6666666667
zqNTr084XTk,0.9090909091
